folder,doi,title,journal,year,url,downloaded,pdf_path,figures_count,note_path,license
10.1038_s43856-025-01239-1,10.1038/s43856-025-01239-1,A comprehensive study of cognitive control in healthy aging,Communications Medicine,2025,https://doi.org/10.1038/s43856-025-01239-1,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41467-025-64275-4,10.1038/s41467-025-64275-4,A wearable-based aging clock associates with disease and behavior,Nature Communications,2025,https://doi.org/10.1038/s41467-025-64275-4,2025-12-04,,0,note.md,Open Access
10.1038_s41467-025-63429-8,10.1038/s41467-025-63429-8,Aging in mice alters regionally enriched striatal astrocytes,Nature Communications,2025,https://doi.org/10.1038/s41467-025-63429-8,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s43587-025-00986-z,10.1038/s43587-025-00986-z,Aging represses oncogenic KRAS-driven lung tumorigenesis and alters tumor suppression,Nature Aging,2025,https://doi.org/10.1038/s43587-025-00986-z,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s43587-025-01022-w,10.1038/s43587-025-01022-w,Anti-uPAR CAR T cells reverse and prevent aging-associated defects in intestinal regeneration and fitness,Nature Aging,2025,https://doi.org/10.1038/s43587-025-01022-w,2025-12-03,paper.pdf,5,note.md,CC-BY-4.0
10.18632_aging.206190,10.18632/aging.206190,Deep learning and generative artificial intelligence in aging research and healthy longevity medicine,Aging,2025,https://www.aging-us.com/lookup/doi/10.18632/aging.206190,2025-12-09,paper.pdf,0,note.md,
10.1038_s43587-025-00961-8,10.1038/s43587-025-00961-8,Elastin-derived extracellular matrix fragments drive aging through innate immune activation,Nature Aging,2025,https://doi.org/10.1038/s43587-025-00961-8,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s41467-025-64652-z,10.1038/s41467-025-64652-z,Elevating cytosolic NADPH metabolism in endothelial cells ameliorates vascular aging,Nature Communications,2025,https://doi.org/10.1038/s41467-025-64652-z,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s41467-025-65664-5,10.1038/s41467-025-65664-5,"Epigenetic age acceleration, telomere length, and neurocognitive function in long-term survivors of childhood cancer",Nature Communications,2025,https://doi.org/10.1038/s41467-025-65664-5,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41467-025-65297-8,10.1038/s41467-025-65297-8,Fibroblast growth factor signaling induces a chondrocyte-like state of peripheral nerve fibroblast during aging,Nature Communications,2025,https://doi.org/10.1038/s41467-025-65297-8,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41467-025-64835-8,10.1038/s41467-025-64835-8,Gene expression composite scores of cellular senescence predict aging health outcomes in the Health and Retirement Study,Nature Communications,2025,https://doi.org/10.1038/s41467-025-64835-8,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s43587-025-01021-x,10.1038/s43587-025-01021-x,Iron homeostasis and cell clonality drive cancer-associated intestinal DNA methylation drift in aging,Nature Aging,2025,https://doi.org/10.1038/s43587-025-01021-x,2025-12-04,,0,note.md,Open Access
10.1038_s41592-024-02590-2,10.1038/s41592-024-02590-2,Live imaging of the extracellular matrix with a glycan-binding fluorophore,Nature Methods,2025,https://www.nature.com/articles/s41592-024-02590-2,2025-12-09,paper.pdf,0,note.md,
10.1038_s41467-025-66434-z,10.1038/s41467-025-66434-z,Midbrain extracellular matrix and microglia are associated with cognition in aging mice,Nature Communications,2025,https://doi.org/10.1038/s41467-025-66434-z,2025-12-03,paper.pdf,6,note.md,CC-BY-4.0
10.1038_s41591-025-03999-8,10.1038/s41591-025-03999-8,MRI-based multi-organ clocks for healthy aging and disease assessment,Nature Medicine,2025,https://doi.org/10.1038/s41591-025-03999-8,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s42003-025-09219-w,10.1038/s42003-025-09219-w,Network-specific corpus callosum aging and age-moderated cognitive associations using tract-to-region analysis,Communications Biology,2025,https://doi.org/10.1038/s42003-025-09219-w,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s41467-025-65692-1,10.1038/s41467-025-65692-1,Odoribacter splanchnicus rescues aging-related intestinal P-glycoprotein damage via GDP-L-fucose secretion,Nature Communications,2025,https://doi.org/10.1038/s41467-025-65692-1,2025-12-03,paper.pdf,6,note.md,CC-BY-4.0
10.1038_s43587-025-01016-8,10.1038/s43587-025-01016-8,Organ-specific proteomic aging clocks predict disease and longevity across diverse populations,Nature Aging,2025,https://doi.org/10.1038/s43587-025-01016-8,2025-12-03,paper.pdf,5,note.md,CC-BY-4.0
10.1038_s41598-025-27042-5,10.1038/s41598-025-27042-5,Oroxylum indicum ameliorates D-galactose-induced aging related memory impairments via enhancing rat hippocampal neurogenesis,Scientific Reports,2025,https://doi.org/10.1038/s41598-025-27042-5,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41598-025-26154-2,10.1038/s41598-025-26154-2,Plasma protein increase as a chronological aging factor in healthy toy poodles,Scientific Reports,2025,https://doi.org/10.1038/s41598-025-26154-2,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41598-025-22076-1,10.1038/s41598-025-22076-1,Prevalence and risk factors for major arterial bleeding in fragility pelvic fractures in the aging population,Scientific Reports,2025,https://doi.org/10.1038/s41598-025-22076-1,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41514-025-00244-x,10.1038/s41514-025-00244-x,Psilocybin treatment extends cellular lifespan and improves survival of aged mice,npj Aging,2025,,,,2,,
10.1038_s41514-025-00287-0,10.1038/s41514-025-00287-0,"Reporting quality, effect sizes, and biases for aging interventions: a methodological appraisal of the DrugAge database",npj Aging,2025,https://doi.org/10.1038/s41514-025-00287-0,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s43587-025-01011-z,10.1038/s43587-025-01011-z,Single-cell analysis of the somatic mutational landscape in human chondrocytes during aging and in osteoarthritis,Nature Aging,2025,https://doi.org/10.1038/s43587-025-01011-z,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s41467-025-63229-0,10.1038/s41467-025-63229-0,Spatial coding dysfunction and network instability in the aging medial entorhinal cortex,Nature Communications,2025,https://doi.org/10.1038/s41467-025-63229-0,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41467-025-58466-2,10.1038/s41467-025-58466-2,Spatial transcriptomics of the aging mouse brain reveals origins of inflammation in the white matter,Nature Communications,2025,https://doi.org/10.1038/s41467-025-58466-2,2025-12-03,paper.pdf,7,note.md,CC-BY-4.0
10.1038_s43856-025-01222-w,10.1038/s43856-025-01222-w,Synergistic and heterogeneous aging using composite phenotypes and multiple organ systems aging clocks,Communications Medicine,2025,https://doi.org/10.1038/s43856-025-01222-w,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s43587-025-01014-w,10.1038/s43587-025-01014-w,Targeting RhoA nuclear mechanoactivity rejuvenates aged hematopoietic stem cells,Nature Aging,2025,https://doi.org/10.1038/s43587-025-01014-w,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s43587-025-00943-w,10.1038/s43587-025-00943-w,The aging factor EPS8 induces disease-related protein aggregation through RAC signaling hyperactivation,Nature Aging,2025,https://doi.org/10.1038/s43587-025-00943-w,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41598-025-25545-9,10.1038/s41598-025-25545-9,The anti-aging potential of VA’S new derivatives through metabolomic profiling,Scientific Reports,2025,https://doi.org/10.1038/s41598-025-25545-9,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41514-025-00290-5,10.1038/s41514-025-00290-5,The neural correlates of cognitive training–induced gains in aging: a meta-analysis of neuroimaging studies,npj Aging,2025,https://doi.org/10.1038/s41514-025-00290-5,2025-12-03,,20,note.md,CC-BY-NC-ND-4.0
10.1038_s41587-025-02830-6,10.1038/s41587-025-02830-6,Tissue and cellular spatiotemporal dynamics in colon aging,Nature Biotechnology,2025,https://doi.org/10.1038/s41587-025-02830-6,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_s41467-025-66354-y,10.1038/s41467-025-66354-y,Vulnerability to memory decline in aging revealed by a mega-analysis of structural brain change,Nature Communications,2025,https://doi.org/10.1038/s41467-025-66354-y,2025-12-03,paper.pdf,4,note.md,CC-BY-4.0
10.7554_eLife.93172,10.7554/eLife.93172,Exceptional longevity of mammalian ovarian and oocyte macromolecules throughout the reproductive lifespan,eLife,2024,,,,0,,
10.1038_s42003-024-06126-4,10.1038/s42003-024-06126-4,Label-free Brillouin endo-microscopy for the quantitative 3D imaging of sub-micrometre biology,Communications Biology,2024,https://www.nature.com/articles/s42003-024-06126-4,2025-12-09,paper.pdf,0,note.md,
10.1002_1873-3468.14852,10.1002/1873-3468.14852,Molecular analysis of the extracellular microenvironment: from form to function,FEBS Letters,2024,https://febs.onlinelibrary.wiley.com/doi/10.1002/1873-3468.14852,2025-12-09,paper.pdf,0,note.md,
10.1038_s41586-023-06956-y,10.1038/s41586-023-06956-y,Motion of VAPB molecules reveals ER-mitochondria contact site subdomains,Nature,2024,,,,0,,
10.1038_s41598-023-42793-9,10.1038/s41598-023-42793-9,Classification of cancer cells at the sub-cellular level by phonon microscopy using deep learning,Scientific Reports,2023,https://www.nature.com/articles/s41598-023-42793-9,2025-12-09,paper.pdf,0,note.md,
10.1038_s41580-022-00531-5,10.1038/s41580-022-00531-5,"Organization, dynamics and mechanoregulation of integrin-mediated cell–ECM adhesions",Nature Reviews Molecular Cell Biology,2023,https://www.nature.com/articles/s41580-022-00531-5,2025-12-09,paper.pdf,0,note.md,
10.1038_s41592-023-02054-z,10.1038/s41592-023-02054-z,Pulsed stimulated Brillouin microscopy enables high-sensitivity mechanical imaging of live and fragile biological specimens,Nature Methods,2023,https://www.nature.com/articles/s41592-023-02054-z,2025-12-09,paper.pdf,0,note.md,
10.1038_s41598-021-82639-w,10.1038/s41598-021-82639-w,3D phonon microscopy with sub-micron axial-resolution,Scientific Reports,2021,https://www.nature.com/articles/s41598-021-82639-w,2025-12-09,paper.pdf,0,note.md,
10.1063_5.0023744,10.1063/5.0023744,Picosecond ultrasonics for elasticity-based imaging and characterization of biological cells,Journal of Applied Physics,2020,https://pubs.aip.org/jap/article/128/16/160902/568416/Picosecond-ultrasonics-for-elasticity-based,2025-12-09,paper.pdf,0,note.md,
lanzaPrinciplesTissueEngineering2020,,Principles of tissue engineering,,2020,,2025-12-09,paper.pdf,0,note.md,
10.1016_j.yjsbx.2018.100002,10.1016/j.yjsbx.2018.100002,3D mapping of native extracellular matrix reveals cellular responses to the microenvironment,Journal of Structural Biology: X,2019,https://linkinghub.elsevier.com/retrieve/pii/S2590152418300023,2025-12-09,paper.pdf,0,note.md,
10.3390_ijms20010205,10.3390/ijms20010205,Extracellular Matrix in Development and Disease,International Journal of Molecular Sciences,2019,https://www.mdpi.com/1422-0067/20/1/205,2025-12-09,paper.pdf,0,note.md,
10.3389_fbioe.2019.00412,10.3389/fbioe.2019.00412,Microscale Interrogation of 3D Tissue Mechanics,Frontiers in Bioengineering and Biotechnology,2019,https://www.frontiersin.org/article/10.3389/fbioe.2019.00412/full,2025-12-09,paper.pdf,0,note.md,
10.3389_fbioe.2019.00303,10.3389/fbioe.2019.00303,Raman Spectroscopy: Guiding Light for the Extracellular Matrix,Frontiers in Bioengineering and Biotechnology,2019,https://www.frontiersin.org/article/10.3389/fbioe.2019.00303/full,2025-12-09,paper.pdf,0,note.md,
leonardMethodsVisualizationAnalysis2018,,Methods for the visualization and analysis of extracellular matrix protein structure and degradation,,2018,https://linkinghub.elsevier.com/retrieve/pii/S0091679X17301267,2025-12-09,paper.pdf,0,note.md,
10.1038_s41467-018-03770-3,10.1038/s41467-018-03770-3,Targeting of NAT10 enhances healthspan in a mouse model of human accelerated aging syndrome,Nature Communications,2018,https://doi.org/10.1038/s41467-018-03770-3,2025-12-03,,20,note.md,CC-BY-4.0
10.1038_npjamd.2016.6,10.1038/npjamd.2016.6,Cytochrome b5 reductase and the control of lipid metabolism and healthspan,npj Aging and Mechanisms of Disease,2016,,,,1,,
10.1016_j.ultras.2014.07.010,10.1016/j.ultras.2014.07.010,Probing single-cell mechanics with picosecond ultrasonics,Ultrasonics,2015,https://linkinghub.elsevier.com/retrieve/pii/S0041624X14002017,2025-12-09,paper.pdf,0,note.md,
10.1097_IJG.0000000000000108,10.1097/IJG.0000000000000108,Biology of the Extracellular Matrix: An Overview,Journal of Glaucoma,2014,http://journals.lww.com/00061198-201410001-00007,2025-12-09,paper.pdf,0,note.md,
10.1002_path.4104,10.1002/path.4104,The myofibroblast matrix: implications for tissue repair and fibrosis,The Journal of Pathology,2013,https://pathsocjournals.onlinelibrary.wiley.com/doi/10.1002/path.4104,2025-12-09,paper.pdf,0,note.md,
10.3389_fnins.2010.00049,10.3389/fnins.2010.00049,Intracellular and extracellular tau,Frontiers in Neuroscience,2010,,2025-12-11,,0,,
10.1083_jcb.200204153,10.1083/jcb.200204153,The relationship between force and focal complex development,The Journal of Cell Biology,2002,https://rupress.org/jcb/article/159/4/695/33100/The-relationship-between-force-and-focal-complex,2025-12-09,paper.pdf,0,note.md,
10.1111_j.1558-5646.1957.tb02911.x,10.1111/j.1558-5646.1957.tb02911.x,"Pleiotropy, Natural Selection, and the Evolution of Senescence",Evolution,1957,,,,0,,
alonSystemsMedicine,,Systems Medicine,,,,2025-12-09,paper.pdf,0,note.md,
